time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1997-08-28T12:11:34.430Z,25.241,62.324,33,4.6,mb,,,,1.08,us,usp00086ta,2014-11-07T01:03:21.164Z,"13 km N of Gwadar, Pakistan",earthquake,,,,11,reviewed,us,us
1997-08-26T00:44:49.960Z,36.545,53.066,33,4.5,mb,,,,0.79,us,usp00086q9,2014-11-07T01:03:20.703Z,"2 km SSE of Sari, Iran",earthquake,,,,15,reviewed,us,us
1997-08-24T21:11:24.750Z,28.795,52.593,33,5,mb,,,,0.88,us,usp00086p4,2022-04-29T20:04:04.438Z,"5 km SSE of F?r?z?b?d, Iran",earthquake,,,,52,reviewed,us,us
1997-08-21T19:13:14.060Z,32.412,48.934,33,4.7,ms,,,,0.86,us,usp00086jc,2014-11-07T01:03:19.840Z,"40 km NNE of Sh?shtar, Iran",earthquake,,,,1,reviewed,us,us
1997-08-15T05:38:07.820Z,30.704,56.672,33,4.5,mb,,,,1.32,us,usp000868b,2014-11-07T01:03:18.819Z,"15 km SE of Zarand, Iran",earthquake,,,,10,reviewed,us,us
1997-08-14T19:38:26.250Z,29.059,51.537,33,4.7,mb,,,,0.92,us,usp000867q,2014-11-07T01:03:18.757Z,"38 km SE of Bor?zj?n, Iran",earthquake,,,,46,reviewed,us,us
1997-07-27T23:33:25.840Z,27.527,56.644,33,5.1,mwc,,,,0.86,us,usp00085f0,2022-04-29T16:59:05.662Z,"52 km NE of Bandar Abbas, Iran",earthquake,,,,,reviewed,us,hrv
1997-07-27T01:59:30.800Z,29.141,52.304,33,4.6,mb,,,,1.01,us,usp00085dk,2014-11-07T01:03:11.301Z,"41 km NW of F?r?z?b?d, Iran",earthquake,,,,31,reviewed,us,us
1997-07-21T04:58:43.430Z,28.207,57.338,33,4.5,mb,,,,0.83,us,usp000854j,2014-11-07T01:03:09.751Z,"121 km NNE of M?n?b, Iran",earthquake,,,,18,reviewed,us,us
1997-07-21T04:37:58.970Z,28.372,57.194,33,4.6,mb,,,,0.94,us,usp000854g,2014-11-07T01:03:09.748Z,"107 km SSE of K?h Sef?d, Iran",earthquake,,,,1,reviewed,us,us
1997-07-09T17:39:15.990Z,28.397,57.179,33,4.7,mb,,,,0.85,us,usp00084ky,2014-11-07T01:03:06.960Z,"104 km SSE of K?h Sef?d, Iran",earthquake,,,,46,reviewed,us,us
1997-07-09T01:17:49.920Z,28.004,53.748,33,4.6,mb,,,,0.7,us,usp00084k1,2014-11-07T01:03:06.838Z,"53 km NW of Ger?sh, Iran",earthquake,,,,20,reviewed,us,us
1997-07-04T16:50:44.090Z,33.075,60.1,10,4.5,mb,,,,1.1,us,usp00084c0,2014-11-07T01:03:05.262Z,"85 km ENE of B?rjand, Iran",earthquake,,,,10,reviewed,us,us
1997-06-25T19:38:40.640Z,33.938,59.475,10,5.9,mwb,,,,0.89,us,usp00083z1,2022-04-29T16:56:32.572Z,"35 km NE of Q?’en, Iran",earthquake,,,,,reviewed,us,us
1997-06-22T22:52:53.900Z,33.139,60.101,10,4.7,mb,,,,0.78,us,usp00083uu,2014-11-07T01:02:59.341Z,"87 km ENE of B?rjand, Iran",earthquake,,,,17,reviewed,us,us
1997-06-21T22:21:20.480Z,32.941,60.19,10,4.5,mb,,,,0.89,us,usp00083t9,2014-11-07T01:02:59.113Z,"91 km E of B?rjand, Iran",earthquake,,,,22,reviewed,us,us
